video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
K8rE3XR9z8Q,18.12.01,Deyshia Hargrave Speaks Out About Being Arrested at School Board Meeting,4given4ever1,25,2018-01-10T23:03:09.000Z,191953,6434,453,0
K8rE3XR9z8Q,18.13.01,Deyshia Hargrave Speaks Out About Being Arrested at School Board Meeting,4given4ever1,25,2018-01-10T23:03:09.000Z,234975,7542,575,0
K8rE3XR9z8Q,18.14.01,Deyshia Hargrave Speaks Out About Being Arrested at School Board Meeting,4given4ever1,25,2018-01-10T23:03:09.000Z,236604,7569,578,0
K8rE3XR9z8Q,18.15.01,Deyshia Hargrave Speaks Out About Being Arrested at School Board Meeting,4given4ever1,25,2018-01-10T23:03:09.000Z,237366,7576,580,0
K8rE3XR9z8Q,18.16.01,Deyshia Hargrave Speaks Out About Being Arrested at School Board Meeting,4given4ever1,25,2018-01-10T23:03:09.000Z,237873,7580,580,0
K8rE3XR9z8Q,18.17.01,Deyshia Hargrave Speaks Out About Being Arrested at School Board Meeting,4given4ever1,25,2018-01-10T23:03:09.000Z,247280,7585,581,0
QiIlcKiREUU,17.17.11,Behind the Aly Raisman interview on 60 Minutes,60 Minutes,25,2017-11-12T23:30:00.000Z,42422,243,8,58
QiIlcKiREUU,17.18.11,Behind the Aly Raisman interview on 60 Minutes,60 Minutes,25,2017-11-12T23:30:00.000Z,48130,271,10,71
hIcR65h2GDs,18.23.02,"No, Oprah's not running for president in 2020",60 Minutes,25,2018-02-15T13:51:01.000Z,155815,1076,131,570
hIcR65h2GDs,18.24.02,"No, Oprah's not running for president in 2020",60 Minutes,25,2018-02-15T13:51:01.000Z,167038,1180,135,673
Wk6Z7HLpx8s,18.24.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,471684,3421,345,1720
Wk6Z7HLpx8s,18.25.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,1019354,6653,831,3130
Wk6Z7HLpx8s,18.26.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,1173096,7132,901,3392
Wk6Z7HLpx8s,18.27.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,1203031,7213,914,3435
Wk6Z7HLpx8s,18.28.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,1219514,7239,922,3443
Wk6Z7HLpx8s,18.29.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,1235447,7263,930,3468
Wk6Z7HLpx8s,18.31.01,"Magnitude 8.2 earthquake strikes Alaska, tsunami watch issued for US West Coast",ABC Action News,25,2018-01-23T10:26:31.000Z,1257486,7301,940,3459
NSrNn5LuxxQ,18.21.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,74337,414,69,867
NSrNn5LuxxQ,18.22.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,194204,868,150,1697
NSrNn5LuxxQ,18.23.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,226823,958,158,1793
NSrNn5LuxxQ,18.24.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,228902,965,165,1815
NSrNn5LuxxQ,18.25.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,230112,969,166,1811
NSrNn5LuxxQ,18.26.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,230894,969,166,1811
NSrNn5LuxxQ,18.27.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,231835,970,167,1812
NSrNn5LuxxQ,18.28.02,Officials provide update after Ohio 7th-grader shoots himself at school,ABC Action News,25,2018-02-20T14:59:20.000Z,232904,968,168,1812
L_5_slz4ke4,17.14.11,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,25,2017-11-12T20:26:46.000Z,7524,67,19,56
L_5_slz4ke4,17.15.11,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,25,2017-11-12T20:26:46.000Z,9833,73,21,62
L_5_slz4ke4,17.16.11,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,25,2017-11-12T20:26:46.000Z,10542,77,22,65
L_5_slz4ke4,17.17.11,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,25,2017-11-12T20:26:46.000Z,11156,86,22,74
AJ2xkh-6tL4,17.18.11,UCLA men's basketball players discuss arrests in China,ABC News,25,2017-11-15T19:25:34.000Z,25521,393,83,409
AJ2xkh-6tL4,17.19.11,UCLA men's basketball players discuss arrests in China,ABC News,25,2017-11-15T19:25:34.000Z,34293,400,86,381
9Tb3xPmr3yg,17.20.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,29041,191,24,177
9Tb3xPmr3yg,17.21.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,70098,513,53,478
9Tb3xPmr3yg,17.22.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,78582,547,58,488
9Tb3xPmr3yg,17.23.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,81305,563,58,524
9Tb3xPmr3yg,17.24.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,85102,576,58,552
9Tb3xPmr3yg,17.25.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,87426,586,58,565
9Tb3xPmr3yg,17.26.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,88352,590,58,598
9Tb3xPmr3yg,17.27.11,Search continues for missing Argentine submarine with 44 crew members onboard,ABC News,25,2017-11-19T15:44:28.000Z,88952,591,59,594
6bJRu0_p-Ig,17.07.12,Deadly California wildfire forces thousands to flee,ABC News,25,2017-12-05T16:12:30.000Z,50188,346,32,515
6bJRu0_p-Ig,17.08.12,Deadly California wildfire forces thousands to flee,ABC News,25,2017-12-05T16:12:30.000Z,113304,688,49,995
6bJRu0_p-Ig,17.09.12,Deadly California wildfire forces thousands to flee,ABC News,25,2017-12-05T16:12:30.000Z,169986,934,70,1087
6bJRu0_p-Ig,17.10.12,Deadly California wildfire forces thousands to flee,ABC News,25,2017-12-05T16:12:30.000Z,198371,1031,72,1230
6bJRu0_p-Ig,17.11.12,Deadly California wildfire forces thousands to flee,ABC News,25,2017-12-05T16:12:30.000Z,210714,1065,74,1284
6bJRu0_p-Ig,17.12.12,Deadly California wildfire forces thousands to flee,ABC News,25,2017-12-05T16:12:30.000Z,215732,1076,74,1249
6xe64i_4GhM,17.15.12,Controversial WH adviser speaks out on resignation,ABC News,25,2017-12-14T16:07:56.000Z,119715,605,527,939
