video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
e89IWTGdIuQ,18.24.01,Staudt on Sports I 1-22-18,730 WVFN,17,2018-01-22T17:32:59.000Z,6064,7,23,19
e89IWTGdIuQ,18.25.01,Staudt on Sports I 1-22-18,730 WVFN,17,2018-01-22T17:32:59.000Z,8992,13,46,30
e89IWTGdIuQ,18.26.01,Staudt on Sports I 1-22-18,730 WVFN,17,2018-01-22T17:32:59.000Z,9441,14,47,31
e89IWTGdIuQ,18.27.01,Staudt on Sports I 1-22-18,730 WVFN,17,2018-01-22T17:32:59.000Z,9637,14,47,32
e89IWTGdIuQ,18.28.01,Staudt on Sports I 1-22-18,730 WVFN,17,2018-01-22T17:32:59.000Z,9762,14,47,32
#NAME?,17.23.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,1624478,6674,1567,577
#NAME?,17.24.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,1807642,7313,1602,666
#NAME?,17.25.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,1875733,7896,1629,784
#NAME?,17.26.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,2150064,8369,1656,828
#NAME?,17.27.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,2318522,8722,1686,871
#NAME?,17.28.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,2509299,8977,1718,899
#NAME?,17.29.11,Predator Is Back,adidas Football,17,2017-11-22T09:10:18.000Z,2678479,9250,1755,921
6kyXZGyso8M,18.12.01,"Hear what Nick Saban, Tua Tagovailoa, & Da'Ron Payne said following Alabama's epic win over Georgia",Alabama Crimson Tide on AL.com,17,2018-01-09T07:09:06.000Z,315661,1744,233,751
6kyXZGyso8M,18.13.01,"Hear what Nick Saban, Tua Tagovailoa, & Da'Ron Payne said following Alabama's epic win over Georgia",Alabama Crimson Tide on AL.com,17,2018-01-09T07:09:06.000Z,339194,1803,243,789
6kyXZGyso8M,18.14.01,"Hear what Nick Saban, Tua Tagovailoa, & Da'Ron Payne said following Alabama's epic win over Georgia",Alabama Crimson Tide on AL.com,17,2018-01-09T07:09:06.000Z,350662,1846,254,819
6kyXZGyso8M,18.15.01,"Hear what Nick Saban, Tua Tagovailoa, & Da'Ron Payne said following Alabama's epic win over Georgia",Alabama Crimson Tide on AL.com,17,2018-01-09T07:09:06.000Z,359643,1870,262,910
6kyXZGyso8M,18.16.01,"Hear what Nick Saban, Tua Tagovailoa, & Da'Ron Payne said following Alabama's epic win over Georgia",Alabama Crimson Tide on AL.com,17,2018-01-09T07:09:06.000Z,366172,1880,267,933
JWAvRIpuj1U,18.26.01,Vince McMahon's Major Sports Announcement,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,110404,0,0,0
JWAvRIpuj1U,18.27.01,Vince McMahon's Major Sports Announcement,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,118786,0,0,0
JWAvRIpuj1U,18.28.01,Vince McMahon's Major Sports Announcement,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,129056,0,0,0
JWAvRIpuj1U,18.29.01,Vince McMahon's Major Sports Announcement,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,132093,0,0,0
JWAvRIpuj1U,18.30.01,Vince McMahon's Major Sports Announcement,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,132459,0,0,0
JWAvRIpuj1U,18.31.01,Vince McMahon's Major Sports Announcement,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,132735,0,0,0
JWAvRIpuj1U,18.01.02,Official XFL Announcement with Vince McMahon,Alpha Entertainment,17,2018-01-25T20:30:17.000Z,139068,0,0,0
k-w8GxCpsCU,17.16.11,John Collins' Best Dunks So Far This Season,Atlanta Hawks,17,2017-11-09T02:36:09.000Z,2394,19,0,2
k-w8GxCpsCU,17.18.11,John Collins' Best Dunks So Far This Season,Atlanta Hawks,17,2017-11-09T02:36:09.000Z,3317,19,0,2
k-w8GxCpsCU,17.19.11,John Collins' Best Dunks So Far This Season,Atlanta Hawks,17,2017-11-09T02:36:09.000Z,3491,19,0,2
kZete48ZtsY,18.29.01,Roger Federer 20th Grand Slam Victory Tribute,ATPWorldTour,17,2018-01-28T17:47:53.000Z,33042,1297,12,96
kZete48ZtsY,18.30.01,Roger Federer 20th Grand Slam Victory Tribute,ATPWorldTour,17,2018-01-28T17:47:53.000Z,64330,1829,21,145
kZete48ZtsY,18.31.01,Roger Federer's  20th Grand Slam Victory Tribute,ATPWorldTour,17,2018-01-28T17:47:53.000Z,74080,1977,22,162
Ho-QAgN6hHA,18.19.01,Jan-Lennard Struff v Roger Federer match highlights (2R) | Australian Open 2018,Australian Open TV,17,2018-01-18T13:27:52.000Z,97518,679,33,120
Ho-QAgN6hHA,18.20.01,Jan-Lennard Struff v Roger Federer match highlights (2R) | Australian Open 2018,Australian Open TV,17,2018-01-18T13:27:52.000Z,143583,835,44,163
Ho-QAgN6hHA,18.21.01,Jan-Lennard Struff v Roger Federer match highlights (2R) | Australian Open 2018,Australian Open TV,17,2018-01-18T13:27:52.000Z,162679,882,50,173
Ho-QAgN6hHA,18.22.01,Jan-Lennard Struff v Roger Federer match highlights (2R) | Australian Open 2018,Australian Open TV,17,2018-01-18T13:27:52.000Z,170780,906,52,165
Ho-QAgN6hHA,18.23.01,Jan-Lennard Struff v Roger Federer match highlights (2R) | Australian Open 2018,Australian Open TV,17,2018-01-18T13:27:52.000Z,175545,916,52,167
